,Date,Titles,Price,Location
0,Mar  3,VINTAGE (9) hard drives IDE SCSI HDD _(6) CD DVD ROM _(2) POWER SUPPLY,$30, (Nashua)
1,Mar  3,DDR4 and DDR2 Server memory,$30," (Lee, NH)"
2,Mar  3,ZIP DRIVE,$20, (Raymond)
3,Mar  3,Nvidia GeForce GTX 1070,$140, (Hudson)
4,Mar  3,PCIE video card,$10, (Nashua)
5,Mar  3,Scanner Canoscan 8600f,$20, (Goffstown)
6,Mar  3,HP LaserJet 6L SMALL Laser Printer & TONER 06A C3906A & CABLES 1 HP 5L,$40, (Nashua)
7,Mar  3,SCSI cable/connector/terminator/card/adapter,$5, (Nashua)
8,Mar  3,901XL Ink Cartidges (New 4 Packs)),$40, (Londonderry)
9,Mar  3,Lot of 20G IDE hard drives / DVD drives,$50, (Nashua)
10,Mar  3,Brand new Linksys PCI ADAPTER,$5, (Weare /MANCHESTER)
11,Mar  3,Panduit Racks and Cable Management,$0, (Plymouth)
12,Mar  3,Apple mouse A1152,$10, (Nashua)
13,Mar  3,AGP / ISA video card,$20, (Nashua)
14,Mar  3,Bundle of 7 Wifi routers,$40, (Derry)
15,Mar  2,Apple A1058 iMac G5 All-In-One Computer + Mouse + Keyboard + Manual,$50," (Hanover, NH)"
16,Mar  2,Nice Asus Combo for sale,$325, (Tilton)
17,Mar  2,PC speakers,$10, (Nashua)
18,Mar  2,CPU's / Processors,$0, (Nashua)
19,Mar  2,Triple Monitor Desk Mount,$100, (Manchester NH)
20,Mar  2,Wifi antennas,$5, (Nashua)
21,Mar  2,BRAND NEW - KingJet Ink (Black),$10," (Weare, NH)"
22,Mar  2,Laptop M.2 SSD (Solid State Drive) 512 GB. Upgrade your laptop.,$80, (Rochester)
23,Mar  2,LG 32UK50T-W 32-Inch 4K UHD LCD Monitor,$295, (Manchester)
24,Mar  2,"Canon Pixma MG2522 All-in-One Inkjet Printer, Scanner & Copier",$1, (Nashua)
25,Mar  2,USB Floppy Drive,$10, (Nashua)
26,Mar  2,Samsung 860 EVO 500Gb SSD,$70, (Keene)
27,Mar  2,Corsair CX430 Power supply,$40, (gilford)
28,Mar  2,A Lot Of Computer And Laptop Screws Over 22lbs.,$300, (Derry and Weare NH)
29,Mar  2,Ddr4 16gb,$50,missing
30,Mar  2,Power Cord / Video Cable / USB Cable,$2, (Nashua)
31,Mar  2,I buy broken laptops and fix them! Seeking more computers.,$0, (Laconia)
32,Mar  2,Bluetooth keyboard,$15, (Nashua)
33,Mar  2,Gigabyte Aorus 1060 6GB,$150, (Concord)
34,Mar  2,STM backpack laptop briefcase,$50, (bow)
35,Mar  2,STM laptop briefcase,$40, (bow)
36,Mar  2,WATERFIELD made in San Francisco STAAD LAPTOP BACKPACK,$200, (hopkinton)
37,Mar  2,Razer LEVIATHAN 5.1 Bluetooth speaker,$100,missing
38,Mar  2,Cat5E network patch cable,$5, (Nashua)
39,Mar  1,"20+ PC, Printer, etc. C13 Power Cords",$5, (Lake Sunapee Area)
40,Mar  1,Plugable USB 3.0 Docking Station,$40, (Manchester)
41,Mar  1,Ink Cartridges Cannon,$10, (Concord)
42,Mar  1,wifi cable modem/router/gateway,$35," (franklin, nh)"
43,Mar  1,HP Disk Drive,$5, (Manchester)
44,Mar  1,Graphics Card - Radeon 3850,$50, (Portsmouth)
45,Mar  1,Continuous feed printer paper,$15, (Nashua)
46,Mar  1,XFX Radeon RX480 - 8 Gigabyte,$100, (Keene)
47,Mar  1,Dell Inspiron Power Supply,$10," (Durham, NH)"
48,Mar  1,HP-Officejet-920XL-BLACK-ink-jet-cartridge-GENUINE-HP-printer-ink,$10," (Pembroke, New Hampshire)"
49,Mar  1,iPad Stand - 12 South Compass,$10, (Meriden)
50,Mar  1,DisplayPort video adapter/cable,$5, (Nashua)
51,Mar  1,Compact Flash card,$5, (Nashua)
52,Mar  1,Lifetime Editions of AutoCAD / Revit / SketchUp and SOLIDWORKS,$0, (New Hampshire)
53,Mar  1,Cable modem & wireless router,$50, (newport)
54,Mar  1,Microsoft Office Professional Plus (All Permanent Editions),$150, (New Hampshire)
55,Mar  1,HP 3050 lazer printer,$60, (bedford)
56,Mar  1,Adobe Permanent Programs and Suites For Sale,$200, (New Hampshire)
57,Mar  1,WINDOWS OPERATING SYSTEMS (ALL EDITIONS - CHOICE OF FORMAT),$75, (New Hampshire)
58,Mar  1,HP Compaq laptop car power adapter,$15, (Nashua)
59,Mar  1,Many new PC Fans and Filters 120mm/80mm,$20, (Laconia)
60,Mar  1,Modem Router for wifi,$20, (Hudson)
61,Mar  1,Maxtor 500GB External Hard Drive,$30, (salem)
62,Mar  1,Maxtor 500GB External Hard Drive,$30, (salem)
63,Mar  1,"HP BATTERY, CHARGER, LAPTOP",$5, (HAMPTON / METHUEN)
64,Mar  1,"Monitor , printer , keyboard , mouse .  $125/bo",$0, (Pelham)
65,Mar  1,DVI-I to DVI-D and VGA adapter cable,$5, (Nashua)
